Image Path,Digit
src\digit detection\data\1\img002-00001.png,1
src\digit detection\data\1\img002-00002.png,1
src\digit detection\data\1\img002-00003.png,1
src\digit detection\data\1\img002-00004.png,1
src\digit detection\data\1\img002-00005.png,1
src\digit detection\data\1\img002-00006.png,1
src\digit detection\data\1\img002-00007.png,1
src\digit detection\data\1\img002-00008.png,1
src\digit detection\data\1\img002-00009.png,1
src\digit detection\data\1\img002-00010.png,1
src\digit detection\data\1\img002-00011.png,1
src\digit detection\data\1\img002-00012.png,1
src\digit detection\data\1\img002-00013.png,1
src\digit detection\data\1\img002-00014.png,1
src\digit detection\data\1\img002-00015.png,1
src\digit detection\data\1\img002-00016.png,1
src\digit detection\data\1\img002-00017.png,1
src\digit detection\data\1\img002-00018.png,1
src\digit detection\data\1\img002-00019.png,1
src\digit detection\data\1\img002-00020.png,1
src\digit detection\data\1\img002-00021.png,1
src\digit detection\data\1\img002-00022.png,1
src\digit detection\data\1\img002-00023.png,1
src\digit detection\data\1\img002-00024.png,1
src\digit detection\data\1\img002-00025.png,1
src\digit detection\data\1\img002-00026.png,1
src\digit detection\data\1\img002-00027.png,1
src\digit detection\data\1\img002-00028.png,1
src\digit detection\data\1\img002-00029.png,1
src\digit detection\data\1\img002-00030.png,1
src\digit detection\data\1\img002-00031.png,1
src\digit detection\data\1\img002-00032.png,1
src\digit detection\data\1\img002-00033.png,1
src\digit detection\data\1\img002-00034.png,1
src\digit detection\data\1\img002-00035.png,1
src\digit detection\data\1\img002-00036.png,1
src\digit detection\data\1\img002-00037.png,1
src\digit detection\data\1\img002-00038.png,1
src\digit detection\data\1\img002-00039.png,1
src\digit detection\data\1\img002-00040.png,1
src\digit detection\data\1\img002-00041.png,1
src\digit detection\data\1\img002-00042.png,1
src\digit detection\data\1\img002-00043.png,1
src\digit detection\data\1\img002-00044.png,1
src\digit detection\data\1\img002-00045.png,1
src\digit detection\data\1\img002-00046.png,1
src\digit detection\data\1\img002-00047.png,1
src\digit detection\data\1\img002-00048.png,1
src\digit detection\data\1\img002-00049.png,1
src\digit detection\data\1\img002-00050.png,1
src\digit detection\data\1\img002-00051.png,1
src\digit detection\data\1\img002-00052.png,1
src\digit detection\data\1\img002-00053.png,1
src\digit detection\data\1\img002-00054.png,1
src\digit detection\data\1\img002-00055.png,1
src\digit detection\data\1\img002-00056.png,1
src\digit detection\data\1\img002-00057.png,1
src\digit detection\data\1\img002-00058.png,1
src\digit detection\data\1\img002-00059.png,1
src\digit detection\data\1\img002-00060.png,1
src\digit detection\data\1\img002-00061.png,1
src\digit detection\data\1\img002-00062.png,1
src\digit detection\data\1\img002-00063.png,1
src\digit detection\data\1\img002-00064.png,1
src\digit detection\data\1\img002-00065.png,1
src\digit detection\data\1\img002-00066.png,1
src\digit detection\data\1\img002-00067.png,1
src\digit detection\data\1\img002-00068.png,1
src\digit detection\data\1\img002-00069.png,1
src\digit detection\data\1\img002-00070.png,1
src\digit detection\data\1\img002-00071.png,1
src\digit detection\data\1\img002-00072.png,1
src\digit detection\data\1\img002-00073.png,1
src\digit detection\data\1\img002-00074.png,1
src\digit detection\data\1\img002-00075.png,1
src\digit detection\data\1\img002-00076.png,1
src\digit detection\data\1\img002-00077.png,1
src\digit detection\data\1\img002-00078.png,1
src\digit detection\data\1\img002-00079.png,1
src\digit detection\data\2\img003-00001.png,2
src\digit detection\data\2\img003-00002.png,2
src\digit detection\data\2\img003-00003.png,2
src\digit detection\data\2\img003-00004.png,2
src\digit detection\data\2\img003-00005.png,2
src\digit detection\data\2\img003-00006.png,2
src\digit detection\data\2\img003-00007.png,2
src\digit detection\data\2\img003-00008.png,2
src\digit detection\data\2\img003-00009.png,2
src\digit detection\data\2\img003-00010.png,2
src\digit detection\data\2\img003-00011.png,2
src\digit detection\data\2\img003-00012.png,2
src\digit detection\data\2\img003-00013.png,2
src\digit detection\data\2\img003-00014.png,2
src\digit detection\data\2\img003-00015.png,2
src\digit detection\data\2\img003-00016.png,2
src\digit detection\data\2\img003-00017.png,2
src\digit detection\data\2\img003-00018.png,2
src\digit detection\data\2\img003-00019.png,2
src\digit detection\data\2\img003-00020.png,2
src\digit detection\data\2\img003-00021.png,2
src\digit detection\data\2\img003-00022.png,2
src\digit detection\data\2\img003-00023.png,2
src\digit detection\data\2\img003-00024.png,2
src\digit detection\data\2\img003-00025.png,2
src\digit detection\data\2\img003-00026.png,2
src\digit detection\data\2\img003-00027.png,2
src\digit detection\data\2\img003-00028.png,2
src\digit detection\data\2\img003-00029.png,2
src\digit detection\data\2\img003-00030.png,2
src\digit detection\data\2\img003-00031.png,2
src\digit detection\data\2\img003-00032.png,2
src\digit detection\data\2\img003-00033.png,2
src\digit detection\data\2\img003-00034.png,2
src\digit detection\data\2\img003-00035.png,2
src\digit detection\data\2\img003-00036.png,2
src\digit detection\data\2\img003-00037.png,2
src\digit detection\data\2\img003-00038.png,2
src\digit detection\data\2\img003-00039.png,2
src\digit detection\data\2\img003-00040.png,2
src\digit detection\data\2\img003-00041.png,2
src\digit detection\data\2\img003-00042.png,2
src\digit detection\data\2\img003-00043.png,2
src\digit detection\data\2\img003-00044.png,2
src\digit detection\data\2\img003-00045.png,2
src\digit detection\data\2\img003-00046.png,2
src\digit detection\data\2\img003-00047.png,2
src\digit detection\data\2\img003-00048.png,2
src\digit detection\data\2\img003-00049.png,2
src\digit detection\data\2\img003-00050.png,2
src\digit detection\data\2\img003-00051.png,2
src\digit detection\data\2\img003-00052.png,2
src\digit detection\data\2\img003-00053.png,2
src\digit detection\data\2\img003-00054.png,2
src\digit detection\data\2\img003-00055.png,2
src\digit detection\data\2\img003-00056.png,2
src\digit detection\data\2\img003-00057.png,2
src\digit detection\data\2\img003-00058.png,2
src\digit detection\data\2\img003-00059.png,2
src\digit detection\data\2\img003-00060.png,2
src\digit detection\data\2\img003-00061.png,2
src\digit detection\data\2\img003-00062.png,2
src\digit detection\data\2\img003-00063.png,2
src\digit detection\data\2\img003-00064.png,2
src\digit detection\data\2\img003-00065.png,2
src\digit detection\data\2\img003-00066.png,2
src\digit detection\data\2\img003-00067.png,2
src\digit detection\data\2\img003-00068.png,2
src\digit detection\data\2\img003-00069.png,2
src\digit detection\data\2\img003-00070.png,2
src\digit detection\data\3\img004-00001.png,3
src\digit detection\data\3\img004-00002.png,3
src\digit detection\data\3\img004-00003.png,3
src\digit detection\data\3\img004-00004.png,3
src\digit detection\data\3\img004-00005.png,3
src\digit detection\data\3\img004-00006.png,3
src\digit detection\data\3\img004-00007.png,3
src\digit detection\data\3\img004-00008.png,3
src\digit detection\data\3\img004-00009.png,3
src\digit detection\data\3\img004-00010.png,3
src\digit detection\data\3\img004-00011.png,3
src\digit detection\data\3\img004-00012.png,3
src\digit detection\data\3\img004-00013.png,3
src\digit detection\data\3\img004-00014.png,3
src\digit detection\data\3\img004-00015.png,3
src\digit detection\data\3\img004-00016.png,3
src\digit detection\data\3\img004-00017.png,3
src\digit detection\data\3\img004-00018.png,3
src\digit detection\data\3\img004-00019.png,3
src\digit detection\data\3\img004-00020.png,3
src\digit detection\data\3\img004-00021.png,3
src\digit detection\data\3\img004-00022.png,3
src\digit detection\data\3\img004-00023.png,3
src\digit detection\data\3\img004-00024.png,3
src\digit detection\data\3\img004-00025.png,3
src\digit detection\data\3\img004-00026.png,3
src\digit detection\data\3\img004-00027.png,3
src\digit detection\data\3\img004-00028.png,3
src\digit detection\data\3\img004-00029.png,3
src\digit detection\data\3\img004-00030.png,3
src\digit detection\data\3\img004-00031.png,3
src\digit detection\data\3\img004-00032.png,3
src\digit detection\data\3\img004-00033.png,3
src\digit detection\data\3\img004-00034.png,3
src\digit detection\data\3\img004-00035.png,3
src\digit detection\data\3\img004-00036.png,3
src\digit detection\data\3\img004-00037.png,3
src\digit detection\data\3\img004-00038.png,3
src\digit detection\data\3\img004-00039.png,3
src\digit detection\data\3\img004-00040.png,3
src\digit detection\data\3\img004-00041.png,3
src\digit detection\data\3\img004-00042.png,3
src\digit detection\data\3\img004-00043.png,3
src\digit detection\data\3\img004-00044.png,3
src\digit detection\data\3\img004-00045.png,3
src\digit detection\data\3\img004-00046.png,3
src\digit detection\data\3\img004-00047.png,3
src\digit detection\data\3\img004-00048.png,3
src\digit detection\data\3\img004-00049.png,3
src\digit detection\data\3\img004-00050.png,3
src\digit detection\data\4\img005-00001.png,4
src\digit detection\data\4\img005-00002.png,4
src\digit detection\data\4\img005-00003.png,4
src\digit detection\data\4\img005-00004.png,4
src\digit detection\data\4\img005-00005.png,4
src\digit detection\data\4\img005-00006.png,4
src\digit detection\data\4\img005-00007.png,4
src\digit detection\data\4\img005-00008.png,4
src\digit detection\data\4\img005-00009.png,4
src\digit detection\data\4\img005-00010.png,4
src\digit detection\data\4\img005-00011.png,4
src\digit detection\data\4\img005-00012.png,4
src\digit detection\data\4\img005-00013.png,4
src\digit detection\data\4\img005-00014.png,4
src\digit detection\data\4\img005-00015.png,4
src\digit detection\data\4\img005-00016.png,4
src\digit detection\data\4\img005-00017.png,4
src\digit detection\data\4\img005-00018.png,4
src\digit detection\data\4\img005-00019.png,4
src\digit detection\data\4\img005-00020.png,4
src\digit detection\data\4\img005-00021.png,4
src\digit detection\data\4\img005-00022.png,4
src\digit detection\data\4\img005-00023.png,4
src\digit detection\data\4\img005-00024.png,4
src\digit detection\data\4\img005-00025.png,4
src\digit detection\data\4\img005-00026.png,4
src\digit detection\data\4\img005-00027.png,4
src\digit detection\data\4\img005-00028.png,4
src\digit detection\data\4\img005-00029.png,4
src\digit detection\data\4\img005-00030.png,4
src\digit detection\data\4\img005-00031.png,4
src\digit detection\data\4\img005-00032.png,4
src\digit detection\data\4\img005-00033.png,4
src\digit detection\data\4\img005-00034.png,4
src\digit detection\data\4\img005-00035.png,4
src\digit detection\data\4\img005-00036.png,4
src\digit detection\data\4\img005-00037.png,4
src\digit detection\data\4\img005-00038.png,4
src\digit detection\data\4\img005-00039.png,4
src\digit detection\data\4\img005-00040.png,4
src\digit detection\data\4\img005-00041.png,4
src\digit detection\data\4\img005-00042.png,4
src\digit detection\data\4\img005-00043.png,4
src\digit detection\data\4\img005-00044.png,4
src\digit detection\data\4\img005-00045.png,4
src\digit detection\data\4\img005-00046.png,4
src\digit detection\data\4\img005-00047.png,4
src\digit detection\data\5\img006-00001.png,5
src\digit detection\data\5\img006-00002.png,5
src\digit detection\data\5\img006-00003.png,5
src\digit detection\data\5\img006-00004.png,5
src\digit detection\data\5\img006-00005.png,5
src\digit detection\data\5\img006-00006.png,5
src\digit detection\data\5\img006-00007.png,5
src\digit detection\data\5\img006-00008.png,5
src\digit detection\data\5\img006-00009.png,5
src\digit detection\data\5\img006-00010.png,5
src\digit detection\data\5\img006-00011.png,5
src\digit detection\data\5\img006-00012.png,5
src\digit detection\data\5\img006-00013.png,5
src\digit detection\data\5\img006-00014.png,5
src\digit detection\data\5\img006-00015.png,5
src\digit detection\data\5\img006-00016.png,5
src\digit detection\data\5\img006-00017.png,5
src\digit detection\data\5\img006-00018.png,5
src\digit detection\data\5\img006-00019.png,5
src\digit detection\data\5\img006-00020.png,5
src\digit detection\data\5\img006-00021.png,5
src\digit detection\data\5\img006-00022.png,5
src\digit detection\data\5\img006-00023.png,5
src\digit detection\data\5\img006-00024.png,5
src\digit detection\data\5\img006-00025.png,5
src\digit detection\data\5\img006-00026.png,5
src\digit detection\data\5\img006-00027.png,5
src\digit detection\data\5\img006-00028.png,5
src\digit detection\data\5\img006-00029.png,5
src\digit detection\data\5\img006-00030.png,5
src\digit detection\data\5\img006-00031.png,5
src\digit detection\data\5\img006-00032.png,5
src\digit detection\data\5\img006-00033.png,5
src\digit detection\data\5\img006-00034.png,5
src\digit detection\data\5\img006-00035.png,5
src\digit detection\data\5\img006-00036.png,5
src\digit detection\data\5\img006-00037.png,5
src\digit detection\data\5\img006-00038.png,5
src\digit detection\data\5\img006-00039.png,5
src\digit detection\data\5\img006-00040.png,5
src\digit detection\data\5\img006-00041.png,5
src\digit detection\data\5\img006-00042.png,5
src\digit detection\data\5\img006-00043.png,5
src\digit detection\data\5\img006-00044.png,5
src\digit detection\data\5\img006-00045.png,5
src\digit detection\data\5\img006-00046.png,5
src\digit detection\data\5\img006-00047.png,5
src\digit detection\data\5\img006-00048.png,5
src\digit detection\data\5\img006-00049.png,5
src\digit detection\data\5\img006-00050.png,5
src\digit detection\data\5\img006-00051.png,5
src\digit detection\data\5\img006-00052.png,5
src\digit detection\data\5\img006-00053.png,5
src\digit detection\data\5\img006-00054.png,5
src\digit detection\data\5\img006-00055.png,5
src\digit detection\data\5\img006-00056.png,5
src\digit detection\data\5\img006-00057.png,5
src\digit detection\data\5\img006-00058.png,5
src\digit detection\data\5\img006-00059.png,5
src\digit detection\data\5\img006-00060.png,5
src\digit detection\data\5\img006-00061.png,5
src\digit detection\data\5\img006-00062.png,5
src\digit detection\data\5\img006-00063.png,5
src\digit detection\data\5\img006-00064.png,5
src\digit detection\data\6\img007-00001.png,6
src\digit detection\data\6\img007-00002.png,6
src\digit detection\data\6\img007-00003.png,6
src\digit detection\data\6\img007-00004.png,6
src\digit detection\data\6\img007-00005.png,6
src\digit detection\data\6\img007-00006.png,6
src\digit detection\data\6\img007-00007.png,6
src\digit detection\data\6\img007-00008.png,6
src\digit detection\data\6\img007-00009.png,6
src\digit detection\data\6\img007-00010.png,6
src\digit detection\data\6\img007-00011.png,6
src\digit detection\data\6\img007-00012.png,6
src\digit detection\data\6\img007-00013.png,6
src\digit detection\data\6\img007-00014.png,6
src\digit detection\data\6\img007-00015.png,6
src\digit detection\data\6\img007-00016.png,6
src\digit detection\data\6\img007-00017.png,6
src\digit detection\data\6\img007-00018.png,6
src\digit detection\data\6\img007-00019.png,6
src\digit detection\data\6\img007-00020.png,6
src\digit detection\data\6\img007-00021.png,6
src\digit detection\data\6\img007-00022.png,6
src\digit detection\data\6\img007-00023.png,6
src\digit detection\data\6\img007-00024.png,6
src\digit detection\data\6\img007-00025.png,6
src\digit detection\data\6\img007-00026.png,6
src\digit detection\data\6\img007-00027.png,6
src\digit detection\data\6\img007-00028.png,6
src\digit detection\data\6\img007-00029.png,6
src\digit detection\data\6\img007-00030.png,6
src\digit detection\data\6\img007-00031.png,6
src\digit detection\data\6\img007-00032.png,6
src\digit detection\data\6\img007-00033.png,6
src\digit detection\data\6\img007-00034.png,6
src\digit detection\data\6\img007-00035.png,6
src\digit detection\data\6\img007-00036.png,6
src\digit detection\data\6\img007-00037.png,6
src\digit detection\data\6\img007-00038.png,6
src\digit detection\data\6\img007-00039.png,6
src\digit detection\data\6\img007-00040.png,6
src\digit detection\data\6\img007-00041.png,6
src\digit detection\data\6\img007-00042.png,6
src\digit detection\data\6\img007-00043.png,6
src\digit detection\data\6\img007-00044.png,6
src\digit detection\data\6\img007-00045.png,6
src\digit detection\data\6\img007-00046.png,6
src\digit detection\data\6\img007-00047.png,6
src\digit detection\data\6\img007-00048.png,6
src\digit detection\data\6\img007-00049.png,6
src\digit detection\data\6\img007-00050.png,6
src\digit detection\data\6\img007-00051.png,6
src\digit detection\data\6\img007-00052.png,6
src\digit detection\data\6\img007-00053.png,6
src\digit detection\data\6\img007-00054.png,6
src\digit detection\data\6\img007-00055.png,6
src\digit detection\data\6\img007-00056.png,6
src\digit detection\data\6\img007-00057.png,6
src\digit detection\data\6\img007-00058.png,6
src\digit detection\data\6\img007-00059.png,6
src\digit detection\data\6\img007-00060.png,6
src\digit detection\data\6\img007-00061.png,6
src\digit detection\data\6\img007-00062.png,6
src\digit detection\data\6\img007-00063.png,6
src\digit detection\data\6\img007-00064.png,6
src\digit detection\data\7\img008-00001.png,7
src\digit detection\data\7\img008-00002.png,7
src\digit detection\data\7\img008-00003.png,7
src\digit detection\data\7\img008-00004.png,7
src\digit detection\data\7\img008-00005.png,7
src\digit detection\data\7\img008-00006.png,7
src\digit detection\data\7\img008-00007.png,7
src\digit detection\data\7\img008-00008.png,7
src\digit detection\data\7\img008-00009.png,7
src\digit detection\data\7\img008-00010.png,7
src\digit detection\data\7\img008-00011.png,7
src\digit detection\data\7\img008-00012.png,7
src\digit detection\data\7\img008-00013.png,7
src\digit detection\data\7\img008-00014.png,7
src\digit detection\data\7\img008-00015.png,7
src\digit detection\data\7\img008-00016.png,7
src\digit detection\data\7\img008-00017.png,7
src\digit detection\data\7\img008-00018.png,7
src\digit detection\data\7\img008-00019.png,7
src\digit detection\data\7\img008-00020.png,7
src\digit detection\data\7\img008-00021.png,7
src\digit detection\data\7\img008-00022.png,7
src\digit detection\data\7\img008-00023.png,7
src\digit detection\data\7\img008-00024.png,7
src\digit detection\data\7\img008-00025.png,7
src\digit detection\data\7\img008-00026.png,7
src\digit detection\data\7\img008-00027.png,7
src\digit detection\data\7\img008-00028.png,7
src\digit detection\data\7\img008-00029.png,7
src\digit detection\data\7\img008-00030.png,7
src\digit detection\data\7\img008-00031.png,7
src\digit detection\data\7\img008-00032.png,7
src\digit detection\data\7\img008-00033.png,7
src\digit detection\data\7\img008-00034.png,7
src\digit detection\data\7\img008-00035.png,7
src\digit detection\data\7\img008-00036.png,7
src\digit detection\data\7\img008-00037.png,7
src\digit detection\data\7\img008-00038.png,7
src\digit detection\data\7\img008-00039.png,7
src\digit detection\data\7\img008-00040.png,7
src\digit detection\data\7\img008-00041.png,7
src\digit detection\data\7\img008-00042.png,7
src\digit detection\data\7\img008-00043.png,7
src\digit detection\data\7\img008-00044.png,7
src\digit detection\data\7\img008-00045.png,7
src\digit detection\data\7\img008-00046.png,7
src\digit detection\data\7\img008-00047.png,7
src\digit detection\data\7\img008-00048.png,7
src\digit detection\data\8\img009-00001.png,8
src\digit detection\data\8\img009-00002.png,8
src\digit detection\data\8\img009-00003.png,8
src\digit detection\data\8\img009-00004.png,8
src\digit detection\data\8\img009-00005.png,8
src\digit detection\data\8\img009-00006.png,8
src\digit detection\data\8\img009-00007.png,8
src\digit detection\data\8\img009-00008.png,8
src\digit detection\data\8\img009-00009.png,8
src\digit detection\data\8\img009-00010.png,8
src\digit detection\data\8\img009-00011.png,8
src\digit detection\data\8\img009-00012.png,8
src\digit detection\data\8\img009-00013.png,8
src\digit detection\data\8\img009-00014.png,8
src\digit detection\data\8\img009-00015.png,8
src\digit detection\data\8\img009-00016.png,8
src\digit detection\data\8\img009-00017.png,8
src\digit detection\data\8\img009-00018.png,8
src\digit detection\data\8\img009-00019.png,8
src\digit detection\data\8\img009-00020.png,8
src\digit detection\data\8\img009-00021.png,8
src\digit detection\data\8\img009-00022.png,8
src\digit detection\data\8\img009-00023.png,8
src\digit detection\data\8\img009-00024.png,8
src\digit detection\data\8\img009-00025.png,8
src\digit detection\data\8\img009-00026.png,8
src\digit detection\data\8\img009-00027.png,8
src\digit detection\data\8\img009-00028.png,8
src\digit detection\data\8\img009-00029.png,8
src\digit detection\data\8\img009-00030.png,8
src\digit detection\data\8\img009-00031.png,8
src\digit detection\data\8\img009-00032.png,8
src\digit detection\data\9\img010-00001.png,9
src\digit detection\data\9\img010-00002.png,9
src\digit detection\data\9\img010-00003.png,9
src\digit detection\data\9\img010-00004.png,9
src\digit detection\data\9\img010-00005.png,9
src\digit detection\data\9\img010-00006.png,9
src\digit detection\data\9\img010-00007.png,9
src\digit detection\data\9\img010-00008.png,9
src\digit detection\data\9\img010-00009.png,9
src\digit detection\data\9\img010-00010.png,9
src\digit detection\data\9\img010-00011.png,9
src\digit detection\data\9\img010-00012.png,9
src\digit detection\data\9\img010-00013.png,9
src\digit detection\data\9\img010-00014.png,9
src\digit detection\data\9\img010-00015.png,9
src\digit detection\data\9\img010-00016.png,9
src\digit detection\data\9\img010-00017.png,9
src\digit detection\data\9\img010-00018.png,9
src\digit detection\data\9\img010-00019.png,9
src\digit detection\data\9\img010-00020.png,9
src\digit detection\data\9\img010-00021.png,9
src\digit detection\data\9\img010-00022.png,9
src\digit detection\data\9\img010-00023.png,9
src\digit detection\data\9\img010-00024.png,9
src\digit detection\data\9\img010-00025.png,9
src\digit detection\data\9\img010-00026.png,9
src\digit detection\data\9\img010-00027.png,9
src\digit detection\data\9\img010-00028.png,9
src\digit detection\data\9\img010-00029.png,9
src\digit detection\data\9\img010-00030.png,9
src\digit detection\data\9\img010-00031.png,9
src\digit detection\data\9\img010-00032.png,9
src\digit detection\data\9\img010-00033.png,9
src\digit detection\data\9\img010-00034.png,9
